;;;;;;;;;;;;;;;
;High;Low;Close;TR;+DM 1;-DM 1;TR14;+DM14;-DM14;+DI14;-DI14;DI 14 Diff;DI 14 Sum;DX;ADX
15 de sep de 10;47,6887;47,0801;47,6388; 0,61 ;0,10;0,00;10,38;3,39;1,84;32,68;17,74;14,94;50,41;29,63;20,83
16 de sep de 10;47,8683;47,4293;47,8284; 0,44 ;0,18;0,00;10,07;3,33;1,71;33,03;16,97;16,07;50,00;32,14;21,64
17 de sep de 10;48,14;47,75;47,995; 0,39 ;0,27;0,00;9,74;3,36;1,59;34,50;16,29;18,21;50,79;35,86;22,65
20 de sep de 10;48,93;48,1101;48,8299; 0,94 ;0,79;0,00;9,98;3,91;1,47;39,18;14,76;24,42;53,94;45,27;24,27
21 de sep de 10;49,17;48,61;48,82; 0,56 ;0,24;0,00;9,83;3,87;1,37;39,39;13,92;25,47;53,31;47,78;25,95
22 de sep de 10;49,021;48,42;48,69; 0,60 ;0,00;0,19;9,73;3,60;1,46;36,96;15,01;21,95;51,97;42,22;27,11
23 de sep de 10;49,16;48,32;48,67; 0,84 ;0,14;0,00;9,87;3,48;1,36;35,22;13,74;21,49;48,96;43,89;28,31
24 de sep de 10;49,69;49,15;49,66; 1,02 ;0,53;0,00;10,19;3,76;1,26;36,90;12,36;24,54;49,26;49,81;29,84
27 de sep de 10;49,75;49,35;49,39; 0,40 ;0,06;0,00;9,86;3,55;1,17;36,01;11,86;24,15;47,87;50,45;31,32
28 de sep de 10;49,54;48,59;49,37; 0,95 ;0,00;0,76;10,11;3,30;1,85;32,62;18,26;14,36;50,89;28,22;31,09
29 de sep de 10;49,53;49,11;49,29; 0,42 ;0,00;0,00;9,80;3,06;1,71;31,23;17,48;13,75;48,71;28,22;30,89
30 de sep de 10;49,84;48,75;49,07; 1,09 ;0,00;0,36;10,19;2,84;1,95;27,89;19,14;8,74;47,03;18,59;30,01
1 de oct de 10;49,53;48,781;49,01; 0,75 ;0,00;0,00;10,22;2,64;1,81;25,84;17,74;8,10;43,58;18,59;29,19
4 de oct de 10;49,05;48,2;48,48; 0,85 ;0,00;0,58;10,34;2,45;2,26;23,72;21,90;1,82;45,62;3,98;27,39
5 de oct de 10;49,76;49;49,66; 1,28 ;0,71;0,00;10,88;2,99;2,10;27,45;19,33;8,13;46,78;17,38;26,68
